file,time_in_seconds,kern timing,cplex timing,finished,solution_size_verified
random/000026_000000000031.input,0.10s,5,3.910064697265625,1.52587890625,1,correct
random/000026_000000000078.input,0.09s,20,0.00017023086547851562,2.7894973754882812,1,correct
random/000026_000000000156.input,0.10s,23,0.0003733634948730469,3.123283386230469,1,correct
random/000026_000000000260.input,0.10s,25,0.0006706714630126953,3.337860107421875,1,correct
random/000028_000000000033.input,0.10s,4,9.441375732421875,2.8371810913085938,1,correct
random/000028_000000000084.input,0.10s,20,0.00018596649169921875,2.765655517578125,1,correct
random/000028_000000000168.input,0.09s,26,0.00040841102600097656,3.409385681152344,1,correct
random/000028_000000000280.input,0.10s,22,0.0006539821624755859,3.0517578125,1,correct
random/000030_000000000036.input,0.09s,5,4.267692565917969,1.8835067749023438,1,correct
random/000030_000000000090.input,0.09s,21,0.00020122528076171875,2.8848648071289062,1,correct
random/000030_000000000180.input,0.09s,27,0.00042366981506347656,3.409385681152344,1,correct
random/000030_000000000300.input,0.10s,25,0.0008008480072021484,3.457069396972656,1,correct
random/000035_000000000042.input,0.09s,6,4.100799560546875,1.9550323486328125,1,correct
random/000035_000000000105.input,0.10s,26,0.0006072521209716797,7.867813110351562,1,correct
random/000035_000000000210.input,0.10s,26,0.0005009174346923828,3.2901763916015625,1,correct
random/000035_000000000350.input,0.54s,34,0.0025255680084228516,8.225440979003906,1,correct
random/000040_000000000048.input,0.10s,7,6.4849853515625,7.224082946777344,1,correct
random/000040_000000000120.input,0.10s,30,0.0002892017364501953,3.719329833984375,1,correct
random/000040_000000000240.input,0.10s,35,0.0006501674652099609,4.2438507080078125,1,correct
random/000040_000000000400.input,0.10s,36,0.0011508464813232422,4.315376281738281,1,correct
random/000045_000000000054.input,0.09s,6,4.7206878662109375,1.9550323486328125,1,correct
random/000045_000000000135.input,0.10s,32,0.0006158351898193359,9.250640869140625,1,correct
random/000045_000000000270.input,0.10s,39,0.0007469654083251953,4.553794860839844,1,correct
random/000045_000000000450.input,0.10s,40,0.0013265609741210938,4.601478576660156,1,correct
random/000050_000000000060.input,0.09s,9,6.079673767089844,2.0742416381835938,1,correct
random/000050_000000000150.input,0.09s,42,0.00039839744567871094,4.792213439941406,1,correct
random/000050_000000000300.input,0.10s,46,0.0009648799896240234,5.221366882324219,1,correct
random/000050_000000000500.input,0.11s,47,0.0017137527465820312,5.364418029785156,1,correct
random/000055_000000000066.input,0.09s,8,6.079673767089844,2.002716064453125,1,correct
random/000055_000000000165.input,0.10s,39,0.0004169940948486328,4.649162292480469,1,correct
random/000055_000000000330.input,0.10s,48,0.001033782958984375,0.00021004676818847656,1,correct
random/000055_000000000550.input,0.11s,49,0.002165555953979492,8.392333984375,1,correct
random/000060_000000000072.input,0.09s,10,0.00011873245239257812,2.4557113647460938,1,correct
random/000060_000000000180.input,0.09s,43,0.00044417381286621094,4.7206878662109375,1,correct
random/000060_000000000360.input,0.13s,50,0.0011281967163085938,5.53131103515625,1,correct
random/000060_000000000600.input,0.16s,53,0.0022263526916503906,5.793571472167969,1,correct
random/000065_000000000078.input,0.10s,11,0.0001308917999267578,2.5272369384765625,1,correct
random/000065_000000000195.input,0.10s,49,0.0005145072937011719,5.435943603515625,1,correct
random/000065_000000000390.input,0.10s,59,0.0013878345489501953,6.29425048828125,1,correct
random/000065_000000000650.input,0.11s,63,0.004285097122192383,0.0001068115234375,1,correct
random/000070_000000000084.input,0.09s,12,8.058547973632812,2.5510787963867188,1,correct
random/000070_000000000210.input,0.10s,56,0.0006101131439208984,6.031990051269531,1,correct
random/000070_000000000420.input,0.10s,60,0.001409769058227539,6.341934204101562,1,correct
random/000070_000000000700.input,0.13s,67,0.005678415298461914,0.0001239776611328125,1,correct
random/000075_000000000090.input,0.10s,13,0.00011014938354492188,2.2172927856445312,1,correct
random/000075_000000000225.input,0.10s,58,0.0017974376678466797,0.00015616416931152344,1,correct
random/000075_000000000450.input,0.13s,68,0.004385948181152344,0.0001819133758544922,1,correct
random/000075_000000000750.input,0.13s,70,0.0035953521728515625,7.414817810058594,1,correct
random/000080_000000000096.input,0.10s,13,8.630752563476562,2.4080276489257812,1,correct
random/000080_000000000240.input,0.14s,62,0.001142263412475586,9.369850158691406,1,correct
random/000080_000000000480.input,0.13s,73,0.0018513202667236328,7.843971252441406,1,correct
random/000080_000000000800.input,0.14s,77,0.00717926025390625,7.987022399902344,1,correct
random/000085_000000000102.input,0.09s,16,0.00012063980102539062,2.4557113647460938,1,correct
random/000085_000000000255.input,0.10s,66,0.0007970333099365234,6.604194641113281,1,correct
random/000085_000000000510.input,0.11s,76,0.0020635128021240234,7.62939453125,1,correct
random/000085_000000000850.input,0.12s,82,0.004194021224975586,8.392333984375,1,correct
random/000090_000000000108.input,0.10s,17,0.00012421607971191406,2.574920654296875,1,correct
random/000090_000000000270.input,0.10s,70,0.0008537769317626953,7.009506225585938,1,correct
random/000090_000000000540.input,0.10s,78,0.0021789073944091797,7.748603820800781,1,correct
random/000090_000000000900.input,0.11s,85,0.007501125335693359,8.797645568847656,1,correct
random/000095_000000000114.input,0.09s,18,0.00014281272888183594,2.5987625122070312,1,correct
random/000095_000000000285.input,0.10s,78,0.002628326416015625,0.00020003318786621094,1,correct
random/000095_000000000570.input,0.11s,86,0.0029993057250976562,9.72747802734375,1,correct
random/000095_000000000950.input,0.15s,87,0.005812644958496094,8.678436279296875,1,correct
random/000100_000000000120.input,0.09s,20,0.0001964569091796875,2.8848648071289062,1,correct
random/000100_000000000300.input,0.10s,86,0.0009851455688476562,8.106231689453125,1,correct
random/000100_000000000600.input,0.11s,95,0.0026955604553222656,9.441375732421875,1,correct
random/000100_000000001000.input,0.14s,96,0.007231235504150391,0.00010943412780761719,1,correct
random/000200_000000000240.input,0.10s,38,0.0004086494445800781,4.5299530029296875,1,correct
